,open,high,low,close,volume
2017-01-02 08:01:00,1.239,1.239,1.236,1.238,24053.0
2017-01-02 08:02:00,1.239,1.239,1.236,1.239,63806.0
2017-01-02 08:04:00,1.239,1.239,1.239,1.239,32284.0
2017-01-02 08:05:00,1.236,1.236,1.236,1.236,14239.0
2017-01-02 08:06:00,1.236,1.238,1.236,1.238,32284.0
2017-01-02 08:10:00,1.239,1.239,1.239,1.239,410.0
2017-01-02 08:13:00,1.236,1.236,1.236,1.236,500.0
2017-01-02 08:15:00,1.236,1.236,1.236,1.236,3500.0
2017-01-02 08:24:00,1.237,1.237,1.237,1.237,20000.0
2017-01-02 08:25:00,1.237,1.237,1.237,1.237,4217.0
2017-01-02 08:26:00,1.237,1.237,1.237,1.237,10500.0
2017-01-02 08:31:00,1.237,1.239,1.237,1.239,8801.0
2017-01-02 08:33:00,1.239,1.24,1.239,1.24,49930.0
2017-01-02 08:34:00,1.24,1.242,1.24,1.242,168657.0
2017-01-02 08:35:00,1.243,1.244,1.24,1.244,191477.0
2017-01-02 08:36:00,1.244,1.244,1.242,1.244,130146.0
2017-01-02 08:37:00,1.245,1.245,1.243,1.243,22934.0
2017-01-02 08:38:00,1.243,1.245,1.243,1.244,92270.0
2017-01-02 08:39:00,1.244,1.244,1.243,1.243,18027.0
2017-01-02 08:40:00,1.243,1.245,1.243,1.244,70830.0
2017-01-02 08:41:00,1.242,1.243,1.241,1.243,194056.0
2017-01-02 08:43:00,1.243,1.243,1.243,1.243,1000.0
2017-01-02 08:44:00,1.243,1.243,1.243,1.243,3000.0
2017-01-02 08:45:00,1.243,1.243,1.242,1.242,5645.0
2017-01-02 08:46:00,1.243,1.244,1.243,1.244,35845.0
2017-01-02 08:47:00,1.244,1.244,1.241,1.241,34322.0
2017-01-02 08:48:00,1.242,1.242,1.242,1.242,1400.0
2017-01-02 08:49:00,1.243,1.243,1.243,1.243,10000.0
2017-01-02 08:51:00,1.244,1.244,1.241,1.241,3443.0
2017-01-02 08:54:00,1.244,1.244,1.244,1.244,650.0
2017-01-02 08:56:00,1.242,1.243,1.241,1.241,10459.0
2017-01-02 08:58:00,1.243,1.243,1.243,1.243,22.0
2017-01-02 08:59:00,1.241,1.241,1.241,1.241,7000.0
2017-01-02 09:01:00,1.243,1.243,1.241,1.241,17104.0
2017-01-02 09:02:00,1.241,1.241,1.241,1.241,1000.0
2017-01-02 09:03:00,1.243,1.243,1.243,1.243,29552.0
2017-01-02 09:04:00,1.242,1.242,1.242,1.242,11895.0
2017-01-02 09:05:00,1.243,1.243,1.243,1.243,1000.0
2017-01-02 09:06:00,1.241,1.241,1.241,1.241,13314.0
2017-01-02 09:09:00,1.241,1.241,1.241,1.241,5000.0
2017-01-02 09:13:00,1.24,1.24,1.24,1.24,20.0
2017-01-02 09:14:00,1.242,1.242,1.241,1.241,4000.0
2017-01-02 09:15:00,1.242,1.242,1.242,1.242,5062.0
2017-01-02 09:16:00,1.242,1.243,1.242,1.243,1000.0
2017-01-02 09:20:00,1.241,1.241,1.241,1.241,4066.0
2017-01-02 09:21:00,1.241,1.241,1.24,1.24,46115.0
2017-01-02 09:22:00,1.24,1.241,1.24,1.241,35000.0
2017-01-02 09:23:00,1.239,1.239,1.238,1.239,50064.0
2017-01-02 09:25:00,1.239,1.24,1.239,1.24,22676.0
2017-01-02 09:26:00,1.239,1.239,1.238,1.238,8430.0
2017-01-02 09:29:00,1.239,1.239,1.239,1.239,4000.0
2017-01-02 09:30:00,1.238,1.238,1.238,1.238,200.0
2017-01-02 09:31:00,1.24,1.24,1.24,1.24,4301.0
2017-01-02 09:32:00,1.24,1.24,1.24,1.24,100.0
2017-01-02 09:33:00,1.239,1.239,1.239,1.239,6058.0
2017-01-02 09:37:00,1.24,1.24,1.24,1.24,12116.0
2017-01-02 09:38:00,1.24,1.24,1.24,1.24,7281.0
2017-01-02 09:39:00,1.241,1.242,1.241,1.242,30000.0
2017-01-02 09:40:00,1.241,1.241,1.239,1.24,46064.0
2017-01-02 09:41:00,1.242,1.244,1.242,1.242,268919.0
2017-01-02 09:42:00,1.242,1.242,1.24,1.241,68241.0
2017-01-02 09:43:00,1.243,1.243,1.243,1.243,2000.0
2017-01-02 09:44:00,1.244,1.244,1.244,1.244,21090.0
2017-01-02 09:45:00,1.244,1.244,1.243,1.243,10734.0
2017-01-02 09:46:00,1.244,1.245,1.244,1.244,34798.0
2017-01-02 09:47:00,1.245,1.245,1.245,1.245,40510.0
2017-01-02 09:48:00,1.246,1.247,1.246,1.247,26568.0
2017-01-02 09:49:00,1.247,1.248,1.247,1.248,36203.0
2017-01-02 09:50:00,1.249,1.249,1.246,1.246,55950.0
2017-01-02 09:51:00,1.246,1.248,1.246,1.248,57153.0
2017-01-02 09:52:00,1.246,1.246,1.245,1.245,64019.0
2017-01-02 09:53:00,1.245,1.246,1.245,1.246,29436.0
2017-01-02 09:54:00,1.244,1.244,1.244,1.244,500.0
2017-01-02 09:55:00,1.244,1.245,1.244,1.245,17000.0
2017-01-02 09:56:00,1.245,1.245,1.245,1.245,17500.0
2017-01-02 09:57:00,1.244,1.244,1.244,1.244,15000.0
2017-01-02 09:58:00,1.245,1.245,1.245,1.245,2000.0
2017-01-02 10:02:00,1.245,1.245,1.245,1.245,152633.0
2017-01-02 10:03:00,1.246,1.247,1.246,1.247,39212.0
2017-01-02 10:04:00,1.247,1.247,1.247,1.247,1400.0
2017-01-02 10:06:00,1.247,1.247,1.247,1.247,595.0
2017-01-02 10:07:00,1.247,1.247,1.247,1.247,12066.0
2017-01-02 10:09:00,1.247,1.249,1.247,1.249,41000.0
2017-01-02 10:10:00,1.249,1.25,1.249,1.25,336719.0
2017-01-02 10:11:00,1.25,1.25,1.25,1.25,154046.0
2017-01-02 10:12:00,1.25,1.25,1.249,1.249,25111.0
2017-01-02 10:13:00,1.249,1.249,1.249,1.249,4522.0
2017-01-02 10:14:00,1.25,1.25,1.249,1.249,959.0
2017-01-02 10:17:00,1.25,1.25,1.249,1.249,31548.0
2017-01-02 10:18:00,1.249,1.249,1.249,1.249,13936.0
2017-01-02 10:19:00,1.248,1.248,1.246,1.246,6222.0
2017-01-02 10:22:00,1.247,1.247,1.246,1.246,5000.0
2017-01-02 10:25:00,1.246,1.246,1.246,1.246,19627.0
2017-01-02 10:28:00,1.247,1.247,1.246,1.246,10002.0
2017-01-02 10:29:00,1.246,1.246,1.246,1.246,2000.0
2017-01-02 10:30:00,1.246,1.246,1.246,1.246,8186.0
2017-01-02 10:31:00,1.247,1.247,1.247,1.247,74471.0
2017-01-02 10:34:00,1.247,1.247,1.246,1.246,3002.0
2017-01-02 10:38:00,1.248,1.248,1.248,1.248,4000.0
2017-01-02 10:43:00,1.248,1.249,1.248,1.249,42896.0
2017-01-02 10:44:00,1.248,1.249,1.248,1.248,19327.0
2017-01-02 10:46:00,1.249,1.249,1.247,1.247,13000.0
2017-01-02 10:47:00,1.247,1.247,1.247,1.247,222.0
2017-01-02 10:48:00,1.249,1.249,1.249,1.249,5866.0
2017-01-02 10:52:00,1.249,1.249,1.249,1.249,500.0
2017-01-02 10:53:00,1.248,1.248,1.248,1.248,16437.0
2017-01-02 10:58:00,1.248,1.248,1.248,1.248,3000.0
2017-01-02 10:59:00,1.249,1.249,1.249,1.249,30427.0
2017-01-02 11:04:00,1.249,1.249,1.249,1.249,2500.0
2017-01-02 11:05:00,1.249,1.249,1.249,1.249,77646.0
2017-01-02 11:06:00,1.248,1.248,1.248,1.248,40.0
2017-01-02 11:10:00,1.249,1.249,1.249,1.249,300.0
2017-01-02 11:11:00,1.249,1.249,1.249,1.249,7475.0
2017-01-02 11:12:00,1.25,1.25,1.249,1.249,71195.0
2017-01-02 11:18:00,1.25,1.25,1.25,1.25,13964.0
2017-01-02 11:26:00,1.25,1.25,1.25,1.25,7027.0
2017-01-02 11:27:00,1.249,1.249,1.249,1.249,6000.0
2017-01-02 11:31:00,1.249,1.249,1.248,1.248,70000.0
2017-01-02 11:32:00,1.247,1.247,1.247,1.247,3000.0
2017-01-02 11:33:00,1.249,1.249,1.249,1.249,753.0
2017-01-02 11:35:00,1.249,1.249,1.249,1.249,35292.0
2017-01-02 11:36:00,1.249,1.249,1.249,1.249,10447.0
2017-01-02 11:40:00,1.249,1.249,1.249,1.249,4127.0
2017-01-02 11:41:00,1.249,1.249,1.249,1.249,6499.0
2017-01-02 11:44:00,1.25,1.25,1.25,1.25,5802.0
2017-01-02 11:46:00,1.249,1.249,1.249,1.249,10000.0
2017-01-02 11:48:00,1.25,1.25,1.25,1.25,25000.0
2017-01-02 11:51:00,1.249,1.249,1.249,1.249,5500.0
2017-01-02 11:53:00,1.249,1.249,1.248,1.248,101068.0
2017-01-02 11:54:00,1.249,1.249,1.249,1.249,34563.0
2017-01-02 11:58:00,1.25,1.25,1.25,1.25,1238.0
2017-01-02 11:59:00,1.25,1.25,1.249,1.249,44393.0
2017-01-02 12:01:00,1.25,1.25,1.25,1.25,9286.0
2017-01-02 12:02:00,1.249,1.249,1.249,1.249,2000.0
2017-01-02 12:03:00,1.25,1.25,1.249,1.249,18392.0
2017-01-02 12:04:00,1.249,1.249,1.249,1.249,11000.0
2017-01-02 12:10:00,1.25,1.25,1.25,1.25,7083.0
2017-01-02 12:12:00,1.25,1.25,1.25,1.25,142012.0
2017-01-02 12:13:00,1.25,1.25,1.25,1.25,10690.0
2017-01-02 12:16:00,1.25,1.251,1.25,1.25,200698.0
2017-01-02 12:20:00,1.249,1.25,1.249,1.25,5556.0
2017-01-02 12:21:00,1.25,1.25,1.25,1.25,3000.0
2017-01-02 12:22:00,1.25,1.25,1.25,1.25,1000.0
2017-01-02 12:24:00,1.249,1.249,1.249,1.249,3000.0
2017-01-02 12:27:00,1.25,1.251,1.25,1.25,94701.0
2017-01-02 12:34:00,1.25,1.25,1.25,1.25,2000.0
2017-01-02 12:37:00,1.25,1.25,1.25,1.25,14940.0
2017-01-02 12:40:00,1.25,1.25,1.25,1.25,92079.0
2017-01-02 12:41:00,1.25,1.25,1.25,1.25,12000.0
2017-01-02 12:44:00,1.25,1.25,1.25,1.25,71083.0
2017-01-02 12:48:00,1.249,1.249,1.249,1.249,12500.0
2017-01-02 12:50:00,1.25,1.25,1.25,1.25,8008.0
2017-01-02 12:53:00,1.25,1.25,1.25,1.25,5005.0
2017-01-02 12:55:00,1.25,1.25,1.25,1.25,10864.0
2017-01-02 12:57:00,1.249,1.249,1.249,1.249,1000.0
2017-01-02 12:58:00,1.25,1.25,1.25,1.25,98926.0
2017-01-02 13:00:00,1.249,1.249,1.249,1.249,8500.0
2017-01-02 13:01:00,1.25,1.25,1.249,1.249,11868.0
2017-01-02 13:03:00,1.249,1.249,1.249,1.249,1000.0
2017-01-02 13:12:00,1.25,1.25,1.25,1.25,4425.0
2017-01-02 13:13:00,1.25,1.25,1.25,1.25,5000.0
2017-01-02 13:14:00,1.25,1.25,1.25,1.25,80342.0
2017-01-02 13:15:00,1.249,1.249,1.249,1.249,3000.0
2017-01-02 13:16:00,1.25,1.25,1.25,1.25,10000.0
2017-01-02 13:20:00,1.25,1.25,1.25,1.25,8022.0
2017-01-02 13:21:00,1.25,1.25,1.25,1.25,7450.0
2017-01-02 13:22:00,1.25,1.25,1.249,1.249,89598.0
2017-01-02 13:24:00,1.25,1.25,1.25,1.25,3375.0
2017-01-02 13:25:00,1.248,1.248,1.248,1.248,5000.0
2017-01-02 13:30:00,1.25,1.25,1.25,1.25,3000.0
2017-01-02 13:31:00,1.25,1.25,1.25,1.25,60340.0
2017-01-02 13:32:00,1.25,1.25,1.25,1.25,72818.0
2017-01-02 13:34:00,1.25,1.251,1.25,1.251,31225.0
2017-01-02 13:37:00,1.249,1.249,1.249,1.249,500.0
2017-01-02 13:41:00,1.25,1.25,1.25,1.25,7191.0
2017-01-02 13:42:00,1.25,1.25,1.25,1.25,5890.0
2017-01-02 13:43:00,1.25,1.25,1.25,1.25,7829.0
2017-01-02 13:47:00,1.25,1.25,1.25,1.25,83778.0
2017-01-02 13:48:00,1.25,1.251,1.25,1.25,826367.0
2017-01-02 13:49:00,1.25,1.25,1.25,1.25,37871.0
2017-01-02 13:50:00,1.25,1.25,1.25,1.25,21706.0
2017-01-02 13:51:00,1.251,1.251,1.25,1.25,71310.0
2017-01-02 13:53:00,1.249,1.249,1.249,1.249,80000.0
2017-01-02 13:55:00,1.25,1.25,1.25,1.25,10.0
2017-01-02 13:59:00,1.25,1.25,1.25,1.25,107391.0
2017-01-02 14:07:00,1.25,1.25,1.25,1.25,34731.0
2017-01-02 14:08:00,1.25,1.25,1.25,1.25,16798.0
2017-01-02 14:10:00,1.25,1.25,1.25,1.25,5593.0
2017-01-02 14:11:00,1.249,1.249,1.249,1.249,15955.0
2017-01-02 14:12:00,1.25,1.25,1.25,1.25,10000.0
2017-01-02 14:13:00,1.25,1.25,1.25,1.25,12544.0
2017-01-02 14:16:00,1.25,1.25,1.25,1.25,107091.0
2017-01-02 14:17:00,1.25,1.25,1.25,1.25,2900.0
2017-01-02 14:18:00,1.25,1.251,1.25,1.251,3954.0
2017-01-02 14:21:00,1.25,1.251,1.25,1.251,55009.0
2017-01-02 14:22:00,1.25,1.25,1.25,1.25,25000.0
2017-01-02 14:25:00,1.251,1.251,1.251,1.251,54618.0
2017-01-02 14:27:00,1.251,1.251,1.251,1.251,28166.0
2017-01-02 14:29:00,1.251,1.251,1.251,1.251,66071.0
2017-01-02 14:30:00,1.252,1.252,1.251,1.251,37809.0
2017-01-02 14:31:00,1.251,1.251,1.251,1.251,5000.0
2017-01-02 14:33:00,1.251,1.251,1.25,1.25,20000.0
2017-01-02 14:34:00,1.251,1.251,1.251,1.251,2129.0
2017-01-02 14:35:00,1.251,1.251,1.251,1.251,1100.0
2017-01-02 14:36:00,1.25,1.25,1.25,1.25,25000.0
2017-01-02 14:37:00,1.251,1.251,1.251,1.251,1000.0
2017-01-02 14:40:00,1.251,1.251,1.251,1.251,38172.0
2017-01-02 14:41:00,1.252,1.252,1.252,1.252,87297.0
2017-01-02 14:43:00,1.251,1.253,1.251,1.253,45057.0
2017-01-02 14:44:00,1.253,1.253,1.253,1.253,104250.0
2017-01-02 14:45:00,1.253,1.254,1.253,1.254,34451.0
2017-01-02 14:47:00,1.253,1.254,1.253,1.254,137187.0
2017-01-02 14:49:00,1.253,1.253,1.253,1.253,25000.0
2017-01-02 14:51:00,1.254,1.254,1.253,1.253,39660.0
2017-01-02 14:52:00,1.255,1.255,1.255,1.255,30000.0
2017-01-02 14:54:00,1.256,1.256,1.253,1.255,13740.0
2017-01-02 14:57:00,1.256,1.256,1.256,1.256,25060.0
2017-01-02 14:58:00,1.256,1.258,1.256,1.258,107467.0
2017-01-02 14:59:00,1.259,1.259,1.258,1.258,49954.0
2017-01-02 15:00:00,1.258,1.258,1.257,1.257,33672.0
2017-01-02 15:02:00,1.255,1.257,1.255,1.257,40100.0
2017-01-02 15:03:00,1.256,1.257,1.256,1.257,21486.0
2017-01-02 15:04:00,1.256,1.256,1.256,1.256,11999.0
2017-01-02 15:05:00,1.256,1.256,1.256,1.256,31427.0
2017-01-02 15:06:00,1.256,1.257,1.256,1.257,64629.0
2017-01-02 15:07:00,1.257,1.258,1.257,1.258,30244.0
2017-01-02 15:09:00,1.258,1.258,1.258,1.258,10275.0
2017-01-02 15:10:00,1.257,1.258,1.257,1.258,5099.0
2017-01-02 15:11:00,1.257,1.257,1.257,1.257,22000.0
2017-01-02 15:12:00,1.257,1.257,1.257,1.257,5000.0
2017-01-02 15:13:00,1.259,1.261,1.259,1.259,458927.0
2017-01-02 15:14:00,1.261,1.262,1.261,1.262,38276.0
2017-01-02 15:15:00,1.263,1.263,1.263,1.263,73381.0
2017-01-02 15:16:00,1.264,1.264,1.264,1.264,6607.0
2017-01-02 15:17:00,1.265,1.265,1.263,1.264,28627.0
